experiment,mode,size,block_size,keep_percent,mean_ms,sd_ms
array_size,cpu-compact,16384,128,50,0.051379666666666664,0.0006837472729988267
array_size,cpu-scan-compact,16384,128,50,0.06332433333333333,0.0005185290091531333
array_size,gpu-compact,16384,128,50,0.11589792066666667,0.017971140096107462
array_size,cpu,65536,128,50,0.029603333,0.00045558955504598655
array_size,naive,65536,128,50,0.14448501366666666,0.014668605401457917
array_size,efficient,65536,32,50,0.20577802766666667,0.0229754029695458
array_size,thrust,65536,128,50,0.06219264,0.0026455009065203513
array_size,cpu-compact,65536,128,50,0.22180833333333333,0.006005538471555509
array_size,cpu-scan-compact,65536,128,50,0.262548332,0.0020086458952906475
array_size,gpu-compact,65536,128,50,0.21218218633333333,0.0212975558029592
array_size,cpu,262144,128,50,0.11741366566666667,0.001340328815378273
array_size,naive,262144,128,50,0.23117610633333333,0.016482930195899047
array_size,efficient,262144,32,50,0.22385344000000001,0.02396173813911172
array_size,thrust,262144,128,50,0.23425525366666666,0.018973681618384978
array_size,cpu-compact,262144,128,50,0.8863573313333333,0.01735593029126749
array_size,cpu-scan-compact,262144,128,50,1.0880476700000001,0.0782969759615255
array_size,gpu-compact,262144,128,50,0.298252266,0.0132372499671536
array_size,cpu,1048576,128,50,0.5006636656666666,0.017444521689669097
array_size,naive,1048576,128,50,0.7742814943333334,0.028688052857423013
array_size,efficient,1048576,32,50,0.36243050833333335,0.012499596829658233
array_size,thrust,1048576,128,50,0.257287787,0.028836682928372135
array_size,cpu-compact,1048576,128,50,3.5372086646666667,0.036421632624957685
array_size,cpu-scan-compact,1048576,128,50,4.489421664666667,0.09952386015546535
array_size,gpu-compact,1048576,128,50,0.4805498673333333,0.016494237300429693
array_size,cpu,4194304,128,50,2.925326337,0.17979400248767125
array_size,naive,4194304,128,50,3.246827731333333,0.21925811092190942
array_size,efficient,4194304,32,50,1.304053009,0.06415844392113852
array_size,thrust,4194304,128,50,0.354225172,0.028840863421368414
array_size,cpu-compact,4194304,128,50,14.241501986,0.2825911439079541
array_size,cpu-scan-compact,4194304,128,50,20.047445653333334,0.13389053362420034
array_size,gpu-compact,4194304,128,50,1.8210330670000001,0.1804771191665057
keep_percent,cpu-compact,1048576,128,0,0.5374310006666667,0.013852096017859696
keep_percent,cpu-scan-compact,1048576,128,0,1.6112473403333334,0.11416220310051554
keep_percent,gpu-compact,1048576,128,0,0.41799157433333334,0.051917539280349326
keep_percent,cpu-compact,1048576,128,25,2.208121,0.052949335924221394
keep_percent,cpu-scan-compact,1048576,128,25,3.5998363246666667,0.11003057586775178
keep_percent,gpu-compact,1048576,128,25,0.44403317333333336,0.028934831019094866
keep_percent,cpu-compact,1048576,128,50,3.5459883293333334,0.00580777353323459
keep_percent,cpu-scan-compact,1048576,128,50,4.623131982666667,0.24180146254806803
keep_percent,gpu-compact,1048576,128,50,0.45005024033333335,0.05675308257088702
keep_percent,cpu-compact,1048576,128,75,1.976269667,0.01804691933629417
keep_percent,cpu-scan-compact,1048576,128,75,3.2860296613333335,0.11655838423597001
keep_percent,gpu-compact,1048576,128,75,0.42310656,0.04922433930691443
keep_percent,cpu-compact,1048576,128,100,0.54343,0.020305544045900386
keep_percent,cpu-scan-compact,1048576,128,100,2.222712669,0.3021664311038318
keep_percent,gpu-compact,1048576,128,100,0.47299519966666664,0.06612909365563088
padding,naive,1048575,128,50,0.725321706,0.06694317774446833
padding,efficient,1048575,32,50,0.35095104,0.04525059184429748
padding,thrust,1048575,128,50,0.250169066,0.017349355252880935
padding,naive,1048576,128,50,0.751306667,0.07750034671207992
padding,efficient,1048576,32,50,0.37753738733333336,0.06588383084664584
padding,thrust,1048576,128,50,0.25777098666666665,0.026677081134508958
padding,naive,1048577,128,50,0.7487001603333333,0.04033758471042908
padding,efficient,1048577,32,50,0.6713021863333334,0.05887203324708398
padding,thrust,1048577,128,50,0.26385034566666665,0.04900566900975164
